CITY,COUNTRY
Milano,Italy
Amsterdam,Netherlands
Bergamo,Italy
München,Germany
Dortmund,Germany
Bern,Switzerland
Brugge,Belgium
Kiev,Ukraine
Barcelona,Spain
Porto,Portugal
Tiraspol,Moldova
Torino,Italy
Villeneuve D’Ascq,France
Liverpool,England
Malmö,Sweden
Manchester,England
Paris,France
Leipzig,Germany
Sevilla,Spain
Donetsk,Ukraine
Lisboa,Portugal
Wolfsburg,Germany
Villarreal,Spain
St. Petersburg,Russia
Paris - St. Denis,France
Mönchengladbach,Germany
Herning,Denmark
Krasnodar,Russia
Roma,Italy
Piräus,Greece
Marseille,France
Rennes,France
Budapest,Hungary
Bucuresti,Romania
Leverkusen,Germany
Beograd,Serbia
Zagreb,Croatia
Istanbul,Turkey
Genk,Belgium
Décines-Charpieu,France
Praha,Czech Republic
Napoli,Italy
Valencia,Spain
Kharkiv,Ukraine
Sinsheim,Germany
Monaco,France
Gelsenkirchen,Germany
Eindhoven,Netherlands
Plzeň,Czech Republic
Athen,Greece
Nikosia,Cyprus
Glasgow,Scotland
Basel,Switzerland
Rotterdam,Netherlands
Maribor,Slovenia
Baku,Azerbaijan
Bruxelles,Belgium
Moskva,Russia
London,England
København,Denmark
Warszawa,Poland
Leicester,England
Razgrad,Bulgaria
Sofia,Bulgaria
Madrid,Spain
Rostov-na-Donu,Russia
Khimki,Russia
Cardiff,Wales
